Date,SP1,SP56337,SP56339,SP56373,SP56385,SP56386,SP74625,SP74626,SP74627,SP74628,SP74629,SP74630,SP74631,SP74640
1/1/1994,18.56962314,17.94429219,15.91425494,12.6728638,14.16589858,20.78446728,19.45692717,18.26366141,21.16568748,20.8314844,20.18636066,15.96808792,14.29788813,16.78016566
2/1/1994,18.66512978,17.59666473,15.97427063,12.78442775,13.30018198,20.88120391,19.62052612,18.41366139,21.3457687,21.01121066,20.36621142,15.8816441,14.4566177,17.01521694
3/1/1994,18.76110447,17.34804745,15.98212799,12.92429725,12.81366713,20.83837149,19.76476212,18.57081285,21.45006962,21.13774784,20.50036729,15.84828978,14.62578838,17.2306247
4/1/1994,18.85298708,17.31023828,16.0187233,12.94124497,12.82899509,20.75642352,19.8889054,18.68570352,21.53714125,21.27276197,20.65290604,15.85335349,14.67132932,17.32327967
5/1/1994,18.94407687,17.35864591,16.09175833,12.95435526,12.94339294,20.74815071,20.00291697,18.80607976,21.67154533,21.37771029,20.74875568,15.88240984,14.68249405,17.3310007
6/1/1994,19.03886902,17.43831303,16.16542558,13.032976,13.24360853,20.63998996,20.10767244,18.92358072,21.84803161,21.46529869,20.81582656,15.94950491,14.73854744,17.34833448
7/1/1994,19.12330489,17.6613318,16.17272756,13.06635518,13.61599804,20.73249207,20.17813345,18.96815848,21.88239835,21.56837065,20.92425599,16.06989011,14.76363359,17.35911713
8/1/1994,19.21243652,17.72756165,16.29492067,13.13650926,13.78237008,20.71284901,20.27941133,19.0883788,22.03616923,21.64456725,20.97982254,16.12560499,14.8101086,17.36517096
9/1/1994,19.34907599,17.80538381,18.14312423,13.20456766,13.93623717,20.72492345,20.44396614,19.2111693,22.07807513,21.86133759,21.08707134,16.18638152,14.85554996,17.37198656
10/1/1994,19.45065197,17.84453987,18.14190359,13.41916086,14.0325924,20.7150047,20.54798148,19.33472831,22.18768613,21.93947938,21.16388248,16.28013089,15.00189596,17.40162491
11/1/1994,19.55463314,17.99001733,18.15011529,13.49182639,14.33220155,20.7274611,20.65432967,19.43955696,22.30143005,22.04692944,21.29444384,16.37645381,15.05304384,17.41589253
12/1/1994,19.72613932,18.2578745,18.15011529,13.67427675,14.75975125,20.85520711,20.81470857,19.57802681,22.44480815,22.23411118,21.51988912,16.57521482,15.18906751,17.47191487
1/1/1995,20.46862019,19.10041573,18.22126547,14.24759387,15.13876519,22.07275311,21.58421413,20.439676,23.47892957,22.87941031,22.23701918,17.23608775,15.68666019,17.83442156
2/1/1995,21.33613293,19.96144404,18.28956468,14.26549088,15.73222394,23.14292364,22.57074845,21.58416899,24.81724273,23.6556662,22.98495526,17.77627729,15.93091712,18.45359895
3/1/1995,22.59392133,20.76223077,18.31167554,15.9374836,16.13024542,24.24780768,23.63837778,22.7860649,26.20324346,24.57253656,24.11812269,19.40802466,18.23777404,21.68125493
4/1/1995,24.3942825,21.80602803,18.37466811,18.72819508,16.91904269,25.48359317,25.4301253,24.83901955,28.73908445,26.07120634,25.78459478,21.17145082,20.58474718,23.42758536
5/1/1995,25.4138631,22.78226598,18.45462086,18.5309413,18.16538471,26.254366,26.68629359,26.48470822,30.65324712,26.89139119,26.45608848,21.59871053,20.56121524,23.64891463
6/1/1995,26.22043406,23.77560142,18.64311235,18.68313909,19.88467575,26.69712385,27.59663906,27.65005944,31.95645609,27.51624703,26.92412414,22.13436044,20.72046874,23.81985108
7/1/1995,26.75496405,24.43533523,18.77415376,19.00069421,21.24831329,26.82331143,28.17307896,28.32714535,32.6204663,27.97984641,27.32903875,22.55233052,20.93918601,23.90148359
8/1/1995,27.19875002,24.79869832,19.12006513,19.18901604,21.63140337,27.17137309,28.69757574,28.9686586,33.38567823,28.37325815,27.64971038,22.79061256,21.0743109,23.96301492
9/1/1995,27.76136288,25.20688742,21.61309654,19.37013944,22.0582599,27.56501756,29.36894055,29.66282803,34.17009545,29.01864911,27.9733666,23.07847586,21.2627527,24.16382694
10/1/1995,28.33257255,26.19539547,21.61825836,20.00478673,23.8873548,27.91617314,29.88226016,30.3261404,34.94943955,29.36406217,28.33912678,23.76853836,21.7062948,24.34253655
11/1/1995,29.03120591,27.58028785,21.61825836,20.74600841,24.99502766,29.50952981,30.49129795,31.04001177,35.61111533,29.85555803,28.99387815,24.65726776,22.18600663,24.45846934
12/1/1995,29.97704506,28.93100398,21.64582324,21.64226367,26.0997211,31.04512771,31.34728918,32.00216214,36.61463546,30.59234134,29.72851957,25.78666755,23.13063563,25.48159932
1/1/1996,31.05470183,29.97567304,22.11979014,22.4960898,25.9181171,33.01707099,32.36398693,33.08726503,37.71433895,31.53187643,30.7692197,26.97444971,24.43181157,27.42808764
2/1/1996,31.77950767,30.64044725,22.2210714,22.9841194,25.12298756,34.78636993,33.13107767,33.97752837,38.67429201,32.16082438,31.42347732,27.57585494,24.97942947,28.0657233
3/1/1996,32.47909623,31.1896024,22.25973294,23.40027058,25.23192152,35.66823227,33.90425026,34.93796984,39.75671576,32.724263,32.04525783,28.07979641,25.44475622,28.60548307
4/1/1996,33.40239265,32.42133595,22.32773088,24.14909576,27.00929598,36.48565155,34.83805312,36.02287949,40.65907434,33.48859926,32.89971684,28.94900494,26.01441544,28.92852378
5/1/1996,34.01123721,33.61688146,22.38552624,23.99425141,28.09126452,37.76596981,35.47139746,36.74999252,41.54134924,34.01674133,33.45300404,29.48061473,26.00078941,29.11400491
6/1/1996,34.56506223,34.18681171,22.45293947,24.32947878,28.43764593,38.50455785,36.0812203,37.42531097,42.34117485,34.55295666,34.15442548,29.8840627,26.26666185,29.28490364
7/1/1996,35.05641717,34.58529129,22.54282051,24.69716534,28.46476246,39.18376901,36.62334893,37.97908047,43.01224449,35.08167685,34.72041329,30.23959133,26.58589922,29.53924361
8/1/1996,35.52236378,35.01993696,22.84871813,25.11266667,28.25776268,40.10372268,37.11654258,38.55495599,43.80152057,35.48215594,35.06815945,30.62681406,26.93306899,29.79376551
9/1/1996,36.09032576,35.403484,26.06752506,25.53625206,28.2279161,40.79983496,37.76518052,39.13631235,44.54348666,36.20545079,35.36074163,30.98567334,27.2705781,30.01348469
10/1/1996,36.54079814,35.7750744,26.06888106,26.45500969,28.34623499,41.36278478,38.19362599,39.63324544,45.16245466,36.55708333,35.79319582,31.47433403,27.85353068,30.1289498
11/1/1996,37.09443212,36.60165629,26.06888106,27.51100052,28.72117368,42.53044019,38.65372099,40.18175832,45.85106646,36.91808231,36.23126078,32.2321932,28.55272301,30.33229439
