Periodo,Aguascalientes a/  ,Baja California a/  ,Baja California Sur a/  ,Campeche a/  ,Coahuila de Zaragoza a/  ,Colima a/  ,Chiapas a/  ,Chihuahua a/  ,Distrito Federal a/  ,Durango a/  ,Guanajuato a/  ,Guerrero a/  ,Hidalgo a/  ,Jalisco a/  ,México a/  ,Michoacán de Ocampo a/  ,Morelos a/  ,Nayarit a/  ,Nuevo León a/  ,Oaxaca a/  ,Puebla a/  ,Querétaro a/  ,Quintana Roo a/  ,San Luis Potosí a/  ,Sinaloa a/  ,Sonora a/  ,Tabasco a/  ,Tamaulipas a/  ,Tlaxcala a/  ,Veracruz de Ignacio de la Llave a/  ,Yucatán a/  ,Zacatecas a/  
2007/11,5.225598759,2.119215384,2.585747155,2.199871159,4.360698721,2.816041895,2.056298355,3.362012446,6.088780713,3.017403654,3.448269202,1.277992901,3.534060987,3.342196298,5.278385573,2.605366913,3.20987466,2.848077497,3.915633011,2.05703707,3.600097798,3.548262545,3.168177755,2.739677203,2.793240169,2.991086263,ND,4.107179236,4.792554797,2.441096682,2.717998703,3.226719235
2007/12,4.976873017,1.966136946,2.204174111,2.064924799,4.021267871,3.054678192,2.037913845,3.598267534,5.634426042,2.819591825,3.135198501,1.272456598,3.112683553,3.033753925,4.932447359,2.26785597,3.36491874,2.682146164,3.763481247,1.900663956,3.698059724,3.368800598,2.757114745,2.413610173,2.424348689,2.563852358,ND,3.565774052,4.525004277,2.759737518,1.914190637,3.484593383
2008/01,5.329253094,2.132694502,2.103715555,1.876653516,4.396619301,3.067084514,2.472007778,3.496254515,4.810200517,3.780251565,3.279363059,1.340778274,2.979263465,2.953365631,5.501933934,2.146237578,3.121406462,2.927305248,4.587723442,1.720495485,3.558990169,3.635062896,2.179351581,2.295183246,2.785150669,2.855799717,ND,4.074087875,4.701919843,2.966975932,2.160201998,3.393669899
2008/02,5.334305804,2.149563683,2.504368472,1.903605826,4.649155754,3.1256364,2.763676456,3.480538382,5.067034343,3.755659316,3.614096585,1.371007429,3.568134159,3.289369138,5.879495411,1.875436369,3.152282801,2.810279629,4.476483109,1.376767303,3.213336892,3.817693389,2.814951601,2.086879532,2.748702318,3.49730477,5.863137585,4.30771531,5.336473501,3.232606659,2.153474394,4.027265792
2008/03,5.751007958,2.459109078,2.588441495,1.827432918,5.515635537,3.155754621,2.936657208,3.666831828,5.208674616,4.057897555,4.511692889,1.251186281,3.516576534,3.375813901,5.659946114,2.764171755,3.032304582,3.188239485,4.61866059,1.887419236,3.570882284,4.081175308,3.27185396,2.430054364,2.822449313,3.86967747,4.404500261,4.167697179,5.612272342,3.032493802,2.325439239,4.071080443
2008/04,5.534928027,2.461505099,2.854183732,1.975899708,5.453324823,2.697005241,2.487876341,3.783856777,5.596185135,3.860287535,4.521970951,1.265471079,3.851836669,2.932389126,4.92409728,3.130576172,2.844007498,2.496205609,3.897017468,2.026462436,3.322851835,3.693289954,3.085908101,2.276483707,2.303522879,3.536406643,4.199787028,3.770122535,5.430763774,2.646546897,2.071214065,4.512966102
2008/05,5.056005036,2.641922295,2.686862252,1.817712564,5.469990177,2.444598665,2.0176112,3.66749957,5.23745782,3.628518388,4.513222414,1.050972066,2.754819272,2.662128186,4.441782752,2.99983482,2.435168501,2.73705249,4.022305229,2.225724647,3.09773547,3.385372864,2.696975834,2.637843693,2.536744498,3.257446518,3.776944354,3.849299087,5.226939374,2.51180153,2.304025855,4.340071245
2008/06,4.871073772,2.650292469,2.783560492,2.175664008,4.808644464,2.167274812,1.802656384,4.033702431,5.228062293,3.821861816,3.812858922,1.110340755,2.752767788,3.00390601,4.34587253,2.616421862,2.238370713,2.490231447,4.086014168,1.910545357,2.827656121,3.374328856,2.60636723,2.551094574,2.616446036,3.871466592,3.893395006,4.303923396,5.302123891,2.019196831,2.243884999,3.936714788
2008/07,4.770649786,3.098684407,3.019160373,2.136100657,4.961357253,2.389028607,1.801149559,4.457460656,5.620472893,3.240272947,4.013859011,1.230923404,2.694606817,3.439755283,4.513601157,2.633716252,2.502875199,3.091691104,4.582196262,1.920437364,2.914557498,3.676705723,2.96498724,3.051466942,3.558854902,3.996711755,3.522488044,4.756145016,5.744402223,2.102756316,2.360358213,3.644592943
2008/08,5.507217713,3.205102825,2.690458089,2.215021971,4.922595862,2.5533179,2.181604234,4.737810139,6.308502156,3.653599294,4.237903699,1.283765573,2.721544133,3.75451103,4.652214394,2.901883543,2.926819492,3.214487026,4.786648253,1.940891878,3.245387757,4.111509224,3.405308418,3.263706267,4.1734472,4.631925275,4.015977809,4.839445593,5.918419673,2.197789707,2.146081825,3.555234245
2008/09,6.200342895,3.477001806,3.128004159,2.074320996,5.881216646,2.797557827,2.269632165,4.643591642,6.365961888,3.631461581,4.781490085,1.210135796,3.341597857,3.717989507,4.905546402,2.881902862,3.097363214,3.581121135,4.918911122,2.631068218,3.733732934,4.075850143,3.722831257,3.680347906,4.976091971,4.238909244,4.369290238,5.069759795,6.145058797,2.721841035,2.521755469,3.920579982
2008/10,6.224041717,3.631559046,3.663227869,1.776972415,6.002559917,3.086610239,2.357261012,5.01863392,6.018532484,4.167399937,5.138427974,1.184380016,3.513757607,3.971462816,4.799206691,2.872378681,2.991086182,3.704852236,4.504689601,2.559844874,3.701842765,3.782327531,3.934981326,3.693836338,4.27921516,4.703655246,5.59822197,5.04457714,5.780921584,2.71389928,2.437888647,3.382312082
2008/11,5.943651261,4.206738919,4.264965616,1.932494908,6.116615632,3.274376583,2.603887789,5.953903557,5.676498449,5.382430794,5.218020373,1.254001192,4.597363193,3.873871459,5.012979227,3.205410621,3.070088548,3.590598183,4.494097929,2.744033902,3.587959199,3.796050429,3.994067425,3.392153642,3.845375211,4.194919099,5.98428663,4.956652605,5.865098387,2.734753094,2.390765373,3.312558579
2008/12,5.622471771,4.35081566,4.181953845,2.303767689,5.693401345,3.294281955,2.873655034,6.905918283,5.692743949,5.396362517,5.497952309,1.496377309,4.635532818,3.855886184,5.177194352,2.866175304,3.661160645,3.48233294,4.35204277,2.076933596,3.139457001,4.052808397,3.778356158,3.290647979,3.484183886,4.379333872,5.709349225,4.852596899,5.19494922,2.317972959,2.212301357,2.940861392
2009/01,6.301162753,5.229631222,4.701259489,2.508696683,6.952777594,3.781445906,3.143528108,6.628010439,5.699255053,5.732873686,5.428266123,1.540895961,5.647149251,4.19146648,5.762935243,2.420869086,3.893371907,3.257339735,5.319924943,2.31544381,3.629312295,4.772087787,3.614896097,3.352283653,3.459707697,4.637257268,4.717436072,5.249112379,5.626491349,2.3692391,2.315647109,3.51970903
2009/02,6.842633386,5.918586217,4.43838337,2.582346486,8.135056873,4.053011237,2.907708556,7.126168488,5.7210869,5.525464691,6.213854432,1.714604177,4.818189289,4.75086757,6.284583638,2.48444805,3.826520226,3.302254749,6.338564212,2.30569402,4.489342094,5.352380588,3.314417311,3.707499987,3.3473722,4.871780169,4.433370688,5.671744766,5.86981518,2.162654456,2.650132304,4.323070461
2009/03,7.389804868,6.35704959,5.296195683,2.18540675,8.436508114,4.128101683,2.463163282,8.24355875,5.617234043,6.383078025,5.795398084,1.604603463,4.784771612,5.309640295,6.333916348,3.296186349,3.42187751,3.084343175,6.958603068,2.518429447,4.638660955,6.059139181,3.468466495,3.867211249,3.205711392,5.40519427,4.92294452,5.754538664,6.095504249,2.632606732,2.849490594,4.619849474
2009/04,6.962645711,6.137600133,4.537473938,2.486854558,7.836722188,4.028626277,1.973319764,8.616400166,6.290115314,5.979501533,5.470435735,1.700867098,4.330372075,4.792062736,6.546484556,4.141509955,3.102296001,3.246939045,6.896864092,2.460073555,4.819812562,6.758474689,3.682326222,3.597690033,3.042749953,5.305050832,5.114165479,5.525560775,6.543037228,2.610995526,2.601897344,4.594073366
2009/05,7.195877476,5.772490346,5.31440127,2.549347591,7.5572815,3.875597658,1.593061755,8.033849315,6.532389892,5.743594792,4.783497836,1.579485714,5.153947722,4.290044378,6.960567608,4.426913229,2.910780091,3.055648933,6.661594549,2.225993329,4.044853708,7.385014079,4.733162989,3.567402156,3.537369132,5.614013465,5.336296466,5.970313728,6.391456352,2.914239137,2.541961031,3.930767955
2009/06,7.261632508,5.557528176,4.932406582,2.838203895,7.683133973,4.215261744,1.805034659,7.215454261,6.768083427,5.661207626,4.905606175,1.550996223,4.849136133,4.467443243,7.311837138,3.984650769,3.179684315,3.410749232,7.092754827,2.278074739,4.285940272,7.996864142,5.430895056,3.467273039,3.996692078,5.389036132,5.541881258,6.191190961,6.51945807,2.666337948,2.711285469,3.941996239
2009/07,7.526175667,5.619803649,5.458209134,2.43323719,8.156365897,4.208503913,2.037813873,7.708540916,7.246289772,6.507018324,5.271789013,1.732414435,5.397397101,5.061065489,7.223997891,3.507287796,3.586187798,3.970426904,7.359851085,1.882698355,4.428485648,8.338969806,6.049619552,4.05091215,4.343432999,5.742102367,6.184036895,6.580893256,6.315889109,3.017917013,3.204645058,4.566421924
2009/08,8.107643728,6.348678885,5.908513177,2.555085116,9.120328299,4.595740364,2.421296018,8.307788509,7.384265691,7.063576484,6.444582638,1.968119015,5.603973157,5.528597462,6.984844899,3.238882566,4.634583482,4.59454231,8.005132799,1.761667605,4.690247736,8.191857369,6.117902892,4.669544448,5.018741724,6.274985701,6.823365848,6.311475756,6.897783795,3.185616652,3.525424229,5.375551759
2009/09,8.139237619,7.540681199,6.235758656,2.641720909,9.646771317,4.886915754,2.664557322,9.540939698,8.317227128,6.63096321,7.588386678,1.917165298,7.121007537,5.727263646,7.651729992,3.321008369,5.178158995,4.544553017,8.277772204,1.651254208,4.995356422,8.413927757,6.296187853,4.962490292,5.884831401,6.976305273,6.677941608,6.738149845,7.811715255,3.375355731,3.411068479,6.018458406
2009/10,8.046731378,7.857727952,6.700329057,3.005145348,9.222415721,4.674765871,2.684391903,9.246560493,7.785546767,6.817323302,7.470864413,1.923085868,7.126597076,5.459155381,8.096310683,3.479673276,5.168135698,4.393099145,8.073733389,1.810485646,4.729074994,8.017661582,6.267725858,4.621526077,6.189967765,7.259611667,6.115229018,6.853546132,7.53541915,3.214560255,3.507462749,5.468889079
